authority_id,authority_name_he,authority_name_en,district,population,socioeconomic_cluster,year,total_waste_tons,kg_per_capita_day,pct_recycled,pct_landfilled,pct_other_recovery,reported,source_url,source_name
7200,נס ציונה,Nes Ziyyona,,47620.0,,2023,25743.396852243743,1.4412230782060564,17.278129524915688,82.7218704750843,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
7300,נצרת,Nazareth,,77295.0,,2023,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
2500,נשר,Nesher,,22911.0,,2023,13122.003273830294,1.5455351833930149,13.208511213275814,86.79148878672419,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
246,נתיבות,Netivot,,45024.0,,2023,30464.256326236522,1.6818715370584043,33.635756660213204,66.3642433397868,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
7400,נתניה,Netanya,,223920.0,,2023,145090.21645438432,1.7038868997802306,15.732162705512733,84.26783729448726,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
525,סאג'ור,Sajur,,4155.0,,2023,2550.0,1.5972339665896236,0.0,100.0,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
587,סביון,Savyon,,4494.0,,2023,6900.797085306131,4.448016323820811,29.67044328351382,70.32955671648618,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
7500,סח'נין,Sakhnin,,32355.0,,2023,26256.830672852037,2.1671217337623836,11.899398959381955,88.10060104061806,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
4501,ע'ג'ר,Ghajar,,2629.0,,2023,1773.8000000000002,1.7655680390180784,5.721614612695905,94.2783853873041,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
666,עומר,Omer,,8250.0,,2023,6019.116933363914,2.0698796691709167,43.142310776020146,56.857689223979854,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
